21:41:29:331,0.273539,0.0374299,0.661016,0.279358,0.0430241,0.659179
21:41:29:431,0.275907,0.0396841,0.660301,0.280951,0.0447036,0.658734
21:41:29:531,0.278052,0.0417748,0.659552,0.282574,0.0464524,0.658369
21:41:29:631,0.279963,0.0437291,0.658968,0.284412,0.0484462,0.657989
21:41:29:732,0.281961,0.0458273,0.658467,0.285987,0.0501472,0.657749
21:41:29:832,0.283666,0.0476428,0.658066,0.28778,0.0522802,0.657482
21:41:29:932,0.28532,0.0494812,0.6578,0.289339,0.0539664,0.65727
21:41:30:032,0.286977,0.051304,0.657475,0.291343,0.0560521,0.65703
21:41:30:132,0.288724,0.0531871,0.657234,0.293612,0.0588578,0.656913
21:41:30:233,0.290596,0.0554029,0.657103,0.295465,0.0617275,0.656379
21:41:30:333,0.292509,0.0578831,0.656865,0.297522,0.0648416,0.655385
21:41:30:433,0.294488,0.0606033,0.656405,0.299659,0.0683019,0.65438
21:41:30:533,0.296549,0.063573,0.655613,0.301644,0.0713911,0.653397
21:41:30:634,0.298582,0.0666901,0.654768,0.303353,0.0742464,0.653028
21:41:30:734,0.300515,0.0697658,0.653945,0.304709,0.0763447,0.653144
21:41:30:834,0.302251,0.0725111,0.653513,0.306483,0.0791597,0.653384
21:41:30:934,0.303972,0.0751604,0.65334,0.307514,0.0808384,0.653406
21:41:31:034,0.305455,0.0775715,0.653308,0.307944,0.0814976,0.653403
21:41:31:135,0.306571,0.0793997,0.653338,0.308521,0.0822245,0.65362
21:41:31:235,0.30748,0.0807804,0.653334,0.309756,0.084397,0.654146
21:41:31:335,0.308343,0.082136,0.653652,0.311523,0.0877589,0.654659
21:41:31:435,0.309508,0.0841686,0.653998,0.312684,0.0901366,0.654855
21:41:31:536,0.310801,0.0864877,0.654336,0.313295,0.0914821,0.654653
21:41:31:636,0.311911,0.0886036,0.654487,0.313509,0.0915034,0.654578
21:41:31:736,0.312627,0.0900491,0.654545,0.313363,0.0907789,0.654553
21:41:31:836,0.313088,0.0906617,0.654533,0.312836,0.0889247,0.654405
21:41:31:937,0.313168,0.0907337,0.654521,0.312002,0.0867011,0.654673
21:41:32:037,0.312909,0.0901041,0.654813,0.310336,0.0827742,0.655181
21:41:32:137,0.312071,0.0882428,0.655352,0.308592,0.0789226,0.655401
21:41:32:237,0.310814,0.0853425,0.655671,0.306427,0.074522,0.655889
21:41:32:338,0.309182,0.0816733,0.655983,0.303903,0.0699216,0.656626
21:41:32:438,0.307175,0.0774561,0.656356,0.301848,0.0662328,0.657244
21:41:32:538,0.305033,0.0732617,0.65679,0.299093,0.061794,0.658386
21:41:32:638,0.302686,0.0689829,0.657431,0.296397,0.057766,0.659384
21:41:32:738,0.300225,0.064666,0.658237,0.293562,0.0536517,0.659956
21:41:32:839,0.297559,0.0603902,0.659062,0.291073,0.0502416,0.660592
21:41:32:939,0.294894,0.0563214,0.65979,0.287895,0.0462455,0.661823
21:41:33:039,0.292112,0.0524406,0.660542,0.284741,0.0427745,0.6632
21:41:33:139,0.289211,0.048658,0.661532,0.281352,0.0392469,0.664112
21:41:33:240,0.286064,0.0449069,0.662577,0.276873,0.0348951,0.664609
21:41:33:340,0.282454,0.0410596,0.663424,0.272452,0.030993,0.665165
21:41:33:440,0.278529,0.0371338,0.664139,0.267451,0.0268042,0.666295
21:41:33:540,0.2741,0.0331585,0.665029,0.261705,0.0224466,0.66785
21:41:33:640,0.269204,0.0290674,0.666118,0.257579,0.0195079,0.668804
21:41:33:741,0.264436,0.0252529,0.667172,0.253134,0.016498,0.669642
21:41:33:841,0.259836,0.0217312,0.668091,0.249249,0.0140628,0.670368
21:41:33:941,0.255492,0.0186092,0.668977,0.244868,0.0114491,0.671477
21:41:34:041,0.251132,0.0157066,0.670014,0.240958,0.00932905,0.672598
21:41:34:142,0.246909,0.013146,0.671033,0.237242,0.00750404,0.673481
21:41:34:242,0.242531,0.0106128,0.672107,0.23309,0.00564449,0.674009
21:41:34:342,0.238642,0.00855773,0.672945,0.22979,0.00414929,0.674043
21:41:34:442,0.234979,0.00673218,0.673473,0.226007,0.00272442,0.674242
21:41:34:543,0.231414,0.00511344,0.673754,0.222651,0.00155574,0.674287
21:41:34:643,0.227767,0.003658,0.673989,0.219268,0.000549049,0.674157
21:41:34:743,0.224314,0.00236438,0.674132,0.215175,-0.000582839,0.673986
21:41:34:843,0.220651,0.00117013,0.674185,0.211457,-0.00166594,0.673819
21:41:34:943,0.216893,2.46934e-05,0.674082,0.207585,-0.00285016,0.673385
21:41:35:044,0.213161,-0.0011138,0.673804,0.203312,-0.00395416,0.673433
21:41:35:144,0.209261,-0.00219694,0.673625,0.199158,-0.00472676,0.673765
21:41:35:244,0.205206,-0.00323047,0.673563,0.195567,-0.00552181,0.673553
21:41:35:344,0.201257,-0.00414183,0.673604,0.192682,-0.0060277,0.673178
21:41:35:444,0.197695,-0.00493255,0.673456,0.190586,-0.0062563,0.672976
21:41:35:545,0.194682,-0.00553562,0.673254,0.188021,-0.00652834,0.673077
21:41:35:645,0.19186,-0.00597893,0.673181,0.185447,-0.00674751,0.673392
21:41:35:745,0.189236,-0.00631716,0.673191,0.183534,-0.0069143,0.673363
21:41:35:845,0.186833,-0.00654519,0.673265,0.180866,-0.0072425,0.672938
21:41:35:946,0.184499,-0.0068564,0.673102,0.178152,-0.00750127,0.672453
21:41:36:046,0.18199,-0.00710168,0.672857,0.175633,-0.00754242,0.671943
21:41:36:146,0.179426,-0.00726009,0.672526,0.173219,-0.00763284,0.671226
21:41:36:246,0.176863,-0.00743981,0.672102,0.169889,-0.00776832,0.670213
21:41:36:346,0.174105,-0.0075966,0.671479,0.167735,-0.00786099,0.669388
21:41:36:447,0.171486,-0.00767484,0.670669,0.165502,-0.00784236,0.66829
21:41:36:547,0.168978,-0.00772191,0.669772,0.163635,-0.00786434,0.66703
21:41:36:647,0.166793,-0.0077933,0.668636,0.162446,-0.00801819,0.66533
21:41:36:747,0.164932,-0.00790547,0.66737,0.161713,-0.00803306,0.663163
21:41:36:848,0.163488,-0.00800316,0.665836,0.161064,-0.00794999,0.661215
21:41:36:948,0.162371,-0.00800311,0.664055,0.161048,-0.00795332,0.659339
21:41:37:048,0.161683,-0.00797988,0.662154,0.161026,-0.00771863,0.658537
21:41:37:148,0.161277,-0.00796371,0.660585,0.160567,-0.00747699,0.657938
21:41:37:249,0.160967,-0.00794456,0.659453,0.159783,-0.00732364,0.657115
21:41:37:349,0.160449,-0.00791804,0.658496,0.159456,-0.00718695,0.655852
21:41:37:449,0.160021,-0.00787381,0.657502,0.160176,-0.00710283,0.655457
21:41:37:549,0.159907,-0.00778751,0.656658,0.161616,-0.00734913,0.656818
21:41:37:649,0.16018,-0.00774505,0.656373,0.162403,-0.00827327,0.659473
21:41:37:750,0.1609,-0.00777503,0.656834,0.163087,-0.00844345,0.665673
21:41:37:850,0.161667,-0.00785189,0.659215,0.16366,-0.00904502,0.669625
21:41:37:950,0.162415,-0.00808236,0.662765,0.165161,-0.00855639,0.675217
21:41:38:050,0.163365,-0.00820126,0.667143,0.166845,-0.00872554,0.678743
21:41:38:151,0.164549,-0.00826267,0.671719,0.168914,-0.00857543,0.682456
21:41:38:251,0.166219,-0.00835152,0.675719,0.170988,-0.00788943,0.68656
21:41:38:351,0.168091,-0.0084173,0.679819,0.171994,-0.00768644,0.688958
21:41:38:451,0.169719,-0.00839793,0.683539,0.173073,-0.00729606,0.691687
21:41:38:551,0.171281,-0.00822621,0.687128,0.173968,-0.00689713,0.694279
21:41:38:652,0.172432,-0.00791599,0.690048,0.17459,-0.00670093,0.697236
